Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-10-03,2020-21,Ath Madrid,Villarreal,0,0,D,14,6,1,2,9,1,1,2,0,0,1.61,3.9,5.5,0,0.5863218893505356,0.24204570303958015,0.1716324076098841
2020-10-03,2020-21,Elche,Huesca,0,0,D,2,18,0,4,0,5,0,2,0,0,3.1,3.1,2.45,0,0.30625,0.30625,0.3875
2020-10-03,2020-21,Sociedad,Getafe,3,0,H,11,5,6,1,5,4,3,3,0,0,2.25,3.1,3.5,3,0.4221789883268483,0.3064202334630351,0.27140077821011677
2020-10-03,2020-21,Valencia,Betis,0,2,A,5,17,2,8,4,7,2,2,0,0,2.8,3.2,2.6,2,0.33876221498371334,0.29641693811074915,0.3648208469055374
2020-10-04,2020-21,Barcelona,Sevilla,1,1,D,12,13,5,1,6,5,1,1,0,0,1.57,4.33,5.25,2,0.6018171661844011,0.2182108431661685,0.17997199064943042
2020-10-04,2020-21,Levante,Real Madrid,0,2,A,11,13,4,3,4,6,2,1,0,0,6.0,4.5,1.5,2,0.15789473684210528,0.2105263157894737,0.6315789473684211
2020-10-04,2020-21,Cadiz,Granada,1,1,D,14,13,4,5,2,5,2,2,0,0,3.0,3.0,2.6,2,0.3170731707317074,0.3170731707317074,0.3658536585365854
2020-10-04,2020-21,Osasuna,Celta,2,0,H,14,9,5,3,6,5,3,3,0,0,2.7,3.1,2.75,2,0.3505345394736841,0.30530427631578944,0.34416118421052627
2020-10-04,2020-21,Alaves,Ath Bilbao,1,0,H,8,8,3,0,0,6,2,3,1,0,3.3,2.9,2.37,1,0.28325914935707225,0.32232937685459945,0.39441147378832836
2020-10-17,2020-21,Granada,Sevilla,1,0,H,13,8,3,3,5,1,4,4,0,1,4.2,3.4,1.9,1,0.22493036211699163,0.27785515320334264,0.4972144846796657
2020-10-17,2020-21,Celta,Ath Madrid,0,2,A,15,9,5,4,8,4,3,4,0,0,5.5,3.3,1.75,2,0.1721311475409836,0.28688524590163933,0.540983606557377
2020-10-17,2020-21,Real Madrid,Cadiz,0,1,A,14,14,2,5,4,11,2,0,0,0,1.18,7.0,15.0,1,0.8017715332926084,0.13515577275503968,0.06307269395235185
2020-10-17,2020-21,Getafe,Barcelona,1,0,H,9,7,4,1,7,2,4,3,0,0,4.75,3.8,1.72,1,0.19953596287703013,0.24941995359628769,0.5510440835266821
2020-10-18,2020-21,Eibar,Osasuna,0,0,D,10,8,6,2,6,7,2,3,0,1,2.6,3.0,3.0,0,0.3658536585365854,0.3170731707317074,0.3170731707317074
2020-10-18,2020-21,Ath Bilbao,Levante,2,0,H,14,6,5,1,9,3,3,1,0,0,2.05,3.2,4.0,2,0.46444121915820036,0.29753265602322204,0.23802612481857766
2020-10-18,2020-21,Villarreal,Valencia,2,1,H,16,11,6,3,3,7,4,1,1,0,1.6,4.0,5.25,3,0.5865921787709497,0.2346368715083799,0.17877094972067037
2020-10-18,2020-21,Alaves,Elche,0,2,A,13,7,2,3,2,6,2,5,0,0,1.75,3.3,5.5,2,0.540983606557377,0.28688524590163933,0.1721311475409836
